respondent_id,h1n1_vaccine,seasonal_vaccine
27179,0.01,0.16
27180,0.38,0.43
27181,0.01,0.88
27182,0.73,0.88
27183,0.0,0.8
27184,0.01,0.4
27185,0.52,0.81
27186,0.16,0.91
27187,0.22,0.17
27188,0.0,0.37
27189,0.06,0.84
27190,0.37,0.8
27191,0.21,0.89
27192,0.43,0.88
27193,0.01,0.22
27194,0.4,0.29
27195,0.11,0.16
27196,0.42,0.29
27197,0.16,0.53
27198,0.55,0.94
27199,0.06,0.15
27200,0.29,0.88
27201,0.82,0.81
27202,0.09,0.26
27203,0.07,0.13
27204,0.01,0.03
27205,0.18,0.39
27206,0.17,0.11
27207,0.07,0.14
27208,0.68,0.56
27209,0.13,0.33
27210,0.32,0.33
27211,0.07,0.42
27212,0.57,0.83
27213,0.34,0.89
27214,0.0,0.01
27215,0.1,0.79
27216,0.08,0.81
27217,0.2,0.27
27218,0.52,0.9
27219,0.62,0.57
27220,0.12,0.19
27221,0.24,0.79
27222,0.24,0.7
27223,0.24,0.76
27224,0.1,0.9
27225,0.24,0.18
27226,0.05,0.27
27227,0.21,0.11
27228,0.54,0.88
27229,0.42,0.71
27230,0.18,0.74
27231,0.67,0.79
27232,0.17,0.42
27233,0.33,0.31
27234,0.1,0.23
27235,0.79,0.96
27236,0.04,0.8
27237,0.45,0.62
27238,0.35,0.86
27239,0.53,0.24
27240,0.18,0.27
27241,0.01,0.07
27242,0.33,0.54
27243,0.04,0.13
27244,0.03,0.08
27245,0.29,0.45
27246,0.75,0.95
27247,0.3,0.99
27248,0.09,0.76
27249,0.14,0.68
27250,0.02,0.13
27251,0.03,0.45
27252,0.21,0.53
27253,0.06,0.97
27254,0.93,0.97
27255,0.24,0.26
27256,0.77,0.85
27257,0.5,0.33
27258,0.6,0.89
27259,0.75,0.72
27260,0.13,0.33
27261,0.17,0.68
27262,0.12,0.46
27263,0.16,0.13
27264,0.21,0.14
27265,0.21,0.32
27266,0.26,0.47
27267,0.15,0.82
27268,0.08,0.09
27269,0.56,0.5
27270,0.05,0.1
27271,0.07,0.18
27272,0.12,0.33
27273,0.01,0.26
27274,0.06,0.39
27275,0.16,0.35
27276,0.08,0.15
27277,0.11,0.93
27278,0.28,0.11
27279,0.13,0.15
27280,0.4,0.28
27281,0.13,0.47
27282,0.03,0.97
27283,0.07,0.26
27284,0.19,0.49
27285,0.03,0.12
27286,0.15,0.55
27287,0.37,0.91
27288,0.42,0.74
27289,0.37,0.39
27290,0.02,0.06
27291,0.54,0.82
27292,0.02,0.57
27293,0.06,0.93
27294,0.04,0.09
27295,0.15,0.87
27296,0.01,0.9
27297,0.05,0.92
27298,0.09,0.15
27299,0.2,0.63
27300,0.24,0.67
27301,0.02,0.04
27302,0.19,0.73
27303,0.09,0.31
27304,0.18,0.86
27305,0.13,0.03
27306,0.14,0.56
27307,0.84,0.92
27308,0.13,0.25
27309,0.79,0.97
27310,0.1,0.21
27311,0.2,0.27
27312,0.29,0.64
27313,0.04,0.07
27314,0.15,0.05
27315,0.09,0.19
27316,0.32,0.72
27317,0.06,0.1
27318,0.21,0.26
27319,0.15,0.84
27320,0.61,0.74
27321,0.02,0.86
27322,0.35,0.31
27323,0.16,0.62
27324,0.64,0.74
27325,0.86,0.99
27326,0.13,0.61
27327,0.2,0.56
27328,0.42,0.26
27329,0.07,0.2
27330,0.01,0.72
27331,0.08,0.21
27332,0.39,0.97
27333,0.62,0.6
27334,0.01,0.03
27335,0.12,0.21
27336,0.12,0.14
27337,0.37,0.75
27338,0.18,0.49
27339,0.29,0.28
27340,0.0,0.14
27341,0.06,0.84
27342,0.1,0.61
27343,0.02,0.0
27344,0.29,0.58
27345,0.09,0.4
27346,0.77,0.94
27347,0.79,0.96
27348,0.07,0.15
27349,0.1,0.09
27350,0.07,0.98
27351,0.75,0.52
27352,0.18,0.38
27353,0.14,0.23
27354,0.15,0.78
27355,0.33,0.17
27356,0.43,0.85
27357,0.01,0.27
27358,0.45,0.54
27359,0.34,0.68
27360,0.11,0.63
27361,0.02,0.91
27362,0.29,0.49
27363,0.03,0.02
27364,0.04,0.44
27365,0.27,0.66
27366,0.62,0.67
27367,0.41,0.63
27368,0.03,0.77
27369,0.03,0.06
27370,0.04,0.84
27371,0.32,0.44
27372,0.0,0.13
27373,0.89,0.61
27374,0.0,0.25
27375,0.15,0.96
27376,0.58,0.56
27377,0.14,0.64
27378,0.04,0.13
27379,0.04,0.3
27380,0.17,0.81
27381,0.05,0.76
27382,0.24,0.41
27383,0.11,0.5
27384,0.16,0.49
27385,0.08,0.93
27386,0.16,0.79
27387,0.45,0.83
27388,0.11,0.28
27389,0.17,0.09
27390,0.02,0.06
27391,0.46,0.72
27392,0.65,0.75
27393,0.0,0.03
27394,0.01,0.51
27395,0.57,0.7
27396,0.12,0.17
27397,0.84,0.94
27398,0.13,0.68
27399,0.37,0.5
27400,0.16,0.9
27401,0.59,0.46
27402,0.1,0.64
27403,0.01,0.05
27404,0.4,0.22
27405,0.85,0.87
27406,0.02,0.33
27407,0.2,0.1
27408,0.02,0.54
27409,0.73,0.86
27410,0.14,0.16
27411,0.05,0.2
27412,0.4,0.69
27413,0.17,0.28
27414,0.59,0.61
27415,0.16,0.35
27416,0.08,0.24
27417,0.27,0.46
27418,0.33,0.12
27419,0.76,0.8
27420,0.18,0.4
27421,0.2,0.34
27422,0.55,0.71
27423,0.02,0.41
27424,0.16,0.45
27425,0.58,0.48
27426,0.12,0.25
27427,0.11,0.18
27428,0.06,0.02
27429,0.63,0.32
27430,0.16,0.61
27431,0.3,0.61
27432,0.26,0.61
27433,0.02,0.82
27434,0.08,0.28
27435,0.39,0.36
27436,0.03,0.03
27437,0.19,0.21
27438,0.0,0.14
27439,0.22,0.37
27440,0.11,0.17
27441,0.73,0.89
27442,0.46,0.89
27443,0.03,0.13
27444,0.17,0.03
27445,0.06,0.17
27446,0.2,0.13
27447,0.0,0.26
27448,0.25,0.61
27449,0.11,0.98
27450,0.05,0.72
27451,0.0,0.08
27452,0.14,0.33
27453,0.13,0.88
27454,0.14,0.4
27455,0.12,0.46
27456,0.15,0.49
27457,0.0,0.14
27458,0.07,0.43
27459,0.0,0.03
27460,0.7,0.82
27461,0.17,0.14
27462,0.02,0.28
27463,0.04,0.29
27464,0.51,0.62
27465,0.77,0.88
27466,0.03,0.08
27467,0.07,0.33
27468,0.1,0.43
27469,0.02,0.36
27470,0.92,0.84
27471,0.04,0.9
27472,0.25,0.79
27473,0.15,0.27
27474,0.08,0.39
27475,0.04,0.05
27476,0.31,0.64
27477,0.08,0.15
27478,0.04,0.74
27479,0.18,0.43
27480,0.59,0.69
27481,0.63,0.83
27482,0.3,0.23
27483,0.4,0.71
27484,0.54,0.82
27485,0.16,0.68
27486,0.1,0.36
27487,0.1,0.88
27488,0.68,0.67
27489,0.91,0.58
27490,0.3,0.37
27491,0.4,0.4
27492,0.24,0.25
27493,0.24,0.91
27494,0.54,0.7
27495,0.17,0.39
27496,0.01,0.06
27497,0.22,0.09
27498,0.09,0.77
27499,0.2,0.96
27500,0.22,0.84
27501,0.02,0.3
27502,0.1,0.49
27503,0.17,0.84
27504,0.09,0.17
27505,0.05,0.03
27506,0.38,0.86
27507,0.13,0.28
27508,0.19,0.3
27509,0.17,0.53
27510,0.53,0.32
27511,0.29,0.63
27512,0.1,0.32
27513,0.26,0.69
27514,0.5,0.58
27515,0.61,0.62
27516,0.3,0.74
27517,0.03,0.01
27518,0.57,0.79
27519,0.04,0.14
27520,0.04,0.05
27521,0.0,0.66
27522,0.19,0.13
27523,0.0,0.18
27524,0.07,0.48
27525,0.08,0.21
27526,0.71,0.62
27527,0.03,0.97
27528,0.31,0.93
27529,0.27,0.79
27530,0.0,0.08
27531,0.37,0.17
27532,0.18,0.88
27533,0.17,0.43
27534,0.09,0.1
27535,0.07,0.81
27536,0.13,0.38
27537,0.54,0.83
27538,0.38,0.49
27539,0.28,0.83
27540,0.46,0.39
27541,0.8,0.98
27542,0.03,0.12
27543,0.46,0.54
27544,0.32,0.44
27545,0.1,0.27
27546,0.63,0.68
27547,0.24,0.41
27548,0.06,0.89
27549,0.03,0.88
27550,0.19,0.27
27551,0.25,0.54
27552,0.03,0.89
27553,0.1,0.49
27554,0.14,0.3
27555,0.02,0.11
27556,0.09,0.55
27557,0.26,0.88
27558,0.1,0.37
27559,0.26,0.67
27560,0.15,0.62
27561,0.33,0.73
27562,0.14,0.55
27563,0.09,0.76
27564,0.19,0.32
27565,0.08,0.32
27566,0.09,0.38
27567,0.24,0.49
27568,0.76,0.95
27569,0.04,0.03
27570,0.41,0.77
27571,0.07,0.11
27572,0.0,0.0
27573,0.1,0.13
27574,0.41,0.39
27575,0.0,0.37
27576,0.0,0.04
27577,0.31,0.52
27578,0.11,0.41
27579,0.02,0.43
27580,0.01,0.45
27581,0.29,0.17
27582,0.07,0.03
27583,0.08,0.09
27584,0.62,0.55
27585,0.26,0.46
27586,0.55,0.85
27587,0.03,0.76
27588,0.18,0.43
27589,0.02,0.56
27590,0.24,0.51
27591,0.36,0.64
27592,0.0,0.08
27593,0.13,0.07
27594,0.24,0.82
27595,0.0,0.35
27596,0.15,0.13
27597,0.13,0.12
27598,0.07,0.05
27599,0.34,0.58
27600,0.0,0.47
27601,0.12,0.77
27602,0.71,0.79
27603,0.03,0.01
27604,0.03,0.41
27605,0.46,0.52
27606,0.05,0.32
27607,0.5,0.66
27608,0.22,0.59
27609,0.53,0.66
27610,0.45,0.81
27611,0.27,0.19
27612,0.01,0.79
27613,0.79,0.87
27614,0.06,0.33
27615,0.27,1.0
27616,0.05,0.06
27617,0.24,0.47
27618,0.23,0.52
27619,0.07,0.3
27620,0.23,0.72
27621,0.3,0.31
27622,0.53,0.91
27623,0.11,0.77
27624,0.09,0.74
27625,0.07,0.28
27626,0.01,0.09
27627,0.71,0.73
27628,0.12,0.89
27629,0.03,0.15
27630,0.59,0.72
27631,0.3,0.16
27632,0.24,0.38
27633,0.81,0.69
27634,0.1,0.23
27635,0.17,0.23
27636,0.22,0.85
27637,0.06,0.08
27638,0.27,0.28
27639,0.11,0.33
27640,0.62,0.31
27641,0.64,0.48
27642,0.5,0.72
27643,0.04,0.16
27644,0.11,0.66
27645,0.36,0.26
27646,0.03,0.33
27647,0.04,0.15
27648,0.0,0.06
27649,0.14,0.34
27650,0.16,0.62
27651,0.24,0.78
27652,0.31,0.36
27653,0.01,0.02
27654,0.67,0.63
27655,0.08,0.35
27656,0.14,0.34
27657,0.49,0.29
27658,0.01,0.57
27659,0.01,0.06
27660,0.6,0.36
27661,0.28,0.13
27662,0.13,0.5
27663,0.24,0.88
27664,0.36,0.3
27665,0.53,0.41
27666,0.01,0.87
27667,0.0,0.0
27668,0.77,0.81
27669,0.33,0.89
27670,0.55,0.97
27671,0.32,0.92
27672,0.06,0.23
27673,0.0,0.35
27674,0.02,0.59
27675,0.71,0.9
27676,0.33,0.81
27677,0.04,0.2
27678,0.2,0.22
27679,0.08,0.58
27680,0.6,0.84
27681,0.03,0.22
27682,0.03,0.99
27683,0.11,0.76
27684,0.01,0.25
27685,0.02,0.04
27686,0.12,0.38
27687,0.04,0.12
27688,0.05,0.77
27689,0.53,0.91
27690,0.71,0.95
27691,0.76,0.89
27692,0.14,0.24
27693,0.13,0.59
27694,0.13,0.48
27695,0.1,0.5
27696,0.04,0.77
27697,0.61,0.77
27698,0.45,0.47
27699,0.03,0.11
27700,0.08,0.39
27701,0.53,0.4
27702,0.3,0.32
27703,0.09,0.05
27704,0.0,0.0
27705,0.41,0.59
27706,0.16,0.79
27707,0.09,0.44
27708,0.33,0.55
27709,0.2,0.27
27710,0.31,0.22
27711,0.48,0.69
27712,0.03,0.24
27713,0.01,0.06
27714,0.17,0.08
27715,0.96,0.81
27716,0.27,0.47
27717,0.22,0.18
27718,0.1,0.12
27719,0.0,0.03
27720,0.1,0.33
27721,0.28,0.17
27722,0.23,0.32
27723,0.14,0.86
27724,0.09,0.24
27725,0.01,0.51
27726,0.16,0.21
27727,0.24,0.96
27728,0.29,0.39
27729,0.2,0.17
27730,0.62,0.56
27731,0.82,0.98
27732,0.07,0.98
27733,0.02,0.11
27734,0.16,0.32
27735,0.42,0.53
27736,0.12,0.17
27737,0.18,0.72
27738,0.49,0.98
27739,0.54,0.78
27740,0.08,0.42
27741,0.48,0.62
27742,0.27,0.44
27743,0.8,0.89
27744,0.02,0.36
27745,0.94,0.88
27746,0.24,0.71
27747,0.02,0.26
27748,0.5,0.24
27749,0.27,0.79
27750,0.43,0.37
27751,0.04,0.02
27752,0.68,0.79
27753,0.04,0.04
27754,0.15,0.82
27755,0.79,0.94
27756,0.28,0.24
27757,0.04,0.05
27758,0.1,0.78
27759,0.02,0.02
27760,0.46,0.7
27761,0.04,0.64
27762,0.32,0.27
27763,0.02,0.57
27764,0.14,0.29
27765,0.15,0.53
27766,0.68,0.72
27767,0.33,0.77
27768,0.14,0.0
27769,0.08,0.17
27770,0.04,0.76
27771,0.14,0.44
27772,0.74,0.89
27773,0.15,0.66
27774,0.49,0.24
27775,0.16,0.23
27776,0.01,0.07
27777,0.33,0.46
27778,0.19,0.14
27779,0.06,0.16
27780,0.04,0.89
27781,0.02,0.11
27782,0.77,0.98
27783,0.11,0.83
27784,0.11,0.33
27785,0.08,0.36
27786,0.14,0.15
27787,0.1,0.2
27788,0.05,0.11
27789,0.72,0.84
27790,0.38,0.59
27791,0.12,0.31
27792,0.07,0.5
27793,0.08,0.33
27794,0.24,0.2
27795,0.48,0.73
27796,0.19,0.51
27797,0.49,0.7
27798,0.25,0.16
27799,0.2,0.38
27800,0.08,0.3
27801,0.0,0.28
27802,0.69,0.91
27803,0.15,0.01
27804,0.57,0.92
27805,0.08,0.19
27806,0.71,0.82
27807,0.16,0.87
27808,0.22,0.44
27809,0.67,0.91
27810,0.0,0.17
27811,0.02,0.1
27812,0.01,0.23
27813,0.28,0.43
27814,0.25,0.56
27815,0.12,0.36
27816,0.53,0.7
27817,0.07,0.28
27818,0.32,0.8
27819,0.1,0.38
27820,0.7,0.74
27821,0.23,0.14
27822,0.12,0.16
27823,0.42,0.4
27824,0.12,0.74
27825,0.4,0.24
27826,0.31,0.59
27827,0.1,0.12
27828,0.01,0.22
27829,0.0,0.1
27830,0.39,0.4
27831,0.03,0.58
27832,0.24,0.58
27833,0.44,0.47
27834,0.71,0.88
27835,0.27,0.73
27836,0.2,0.84
27837,0.65,0.87
27838,0.01,0.48
27839,0.01,0.02
27840,0.45,0.43
27841,0.14,0.47
27842,0.41,0.89
27843,0.09,0.53
27844,0.02,0.99
27845,0.04,0.71
27846,0.16,0.19
27847,0.13,0.55
27848,0.86,0.94
27849,0.23,0.86
27850,0.3,0.05
27851,0.68,0.48
27852,0.23,0.7
27853,0.18,0.17
27854,0.15,0.73
27855,0.06,0.62
27856,0.28,0.9
27857,0.52,0.78
27858,0.67,0.85
27859,0.84,0.8
27860,0.24,0.76
27861,0.09,0.18
27862,0.12,0.27
27863,0.29,0.23
27864,0.06,0.31
27865,0.44,0.51
27866,0.84,0.74
27867,0.86,0.6
27868,0.33,0.87
27869,0.01,0.43
27870,0.28,0.31
27871,0.08,0.64
27872,0.33,0.1
27873,0.17,0.03
27874,0.27,0.67
27875,0.36,0.42
27876,0.03,0.12
27877,0.6,0.82
27878,0.03,0.86
27879,0.14,0.78
27880,0.13,0.35
27881,0.13,0.78
27882,0.02,0.39
27883,0.04,0.15
27884,0.31,0.24
27885,0.0,0.2
27886,0.1,0.14
27887,0.48,0.53
27888,0.18,0.18
27889,0.12,0.26
27890,0.13,0.23
27891,0.29,0.62
27892,0.36,0.32
27893,0.06,0.29
27894,0.1,0.3
27895,0.05,0.8
27896,0.2,0.64
27897,0.02,0.0
27898,0.01,0.08
27899,0.03,0.47
27900,0.26,0.82
27901,0.0,0.05
27902,0.07,0.31
27903,0.06,0.14
27904,0.16,0.32
27905,0.17,0.24
27906,0.2,0.77
27907,0.86,0.94
27908,0.26,0.51
27909,0.13,0.39
27910,0.21,0.41
27911,0.41,0.7
27912,0.06,0.36
27913,0.0,0.43
27914,0.05,0.29
27915,0.0,0.18
27916,0.21,0.33
27917,0.01,0.37
27918,0.46,0.91
27919,0.3,0.45
27920,0.29,0.66
27921,0.05,0.52
27922,0.33,0.58
27923,0.1,0.84
27924,0.2,0.23
27925,0.01,0.04
27926,0.25,0.34
27927,0.04,0.2
27928,0.86,0.87
27929,0.04,0.99
27930,0.25,0.14
27931,0.59,0.74
27932,0.32,0.17
27933,0.03,0.23
27934,0.47,0.82
27935,0.26,0.66
27936,0.05,0.79
27937,0.82,0.81
27938,0.04,0.08
27939,0.06,0.1
27940,0.0,0.09
27941,0.03,0.04
27942,0.0,0.22
27943,0.04,0.65
27944,0.28,0.16
27945,0.38,0.17
27946,0.01,0.03
27947,0.83,0.85
27948,0.09,0.21
27949,0.11,0.29
27950,0.08,0.95
27951,0.59,0.67
27952,0.07,0.93
27953,0.34,0.66
27954,0.05,0.86
27955,0.03,0.69
27956,0.75,0.9
27957,0.12,0.37
27958,0.69,0.91
27959,0.37,0.4
27960,0.3,0.62
27961,0.12,0.27
27962,0.78,0.86
27963,0.03,0.06
27964,0.0,0.04
27965,0.1,0.45
27966,0.4,0.88
27967,0.06,0.28
27968,0.1,0.63
27969,0.81,0.78
27970,0.05,0.34
27971,0.0,0.8
27972,0.14,0.57
27973,0.65,0.63
27974,0.12,0.26
